UnitedHealthcare,Choice Plus,PR,Norman,D,Miller,MD,,https://connect.werally.com/provider/0000844587-norman-miller,Baldorioty 177,Moca,PR,676,8085435950,,Gastroenterology,,https://npiregistry.cms.hhs.gov/registry/provider-view/1235136367,https://npiregistry.cms.hhs.gov/registry/search-results-table?number=1235136367,NORMAN,,MILLER,Individual,62 BROWN STREET, SUITE 503,HAVENHILL,MA,1830,978-521-3681,978-521-3682,Internal Medicine Gastroenterology,62 BROWN STREET, SUITE 503, HAVENHILL,A
UnitedHealthcare1,Choice Plus1,PR1,Kazuma1,D1,Nakagawa1,MD1,,https://connect.werally.com/provider/0003098168-kazuma-nakagawa1,Baldorioty 1771,Moca1,PR1,6761,80854359501,,Hospitalist1,,https://npiregistry.cms.hhs.gov/registry/provider-view/18816745391,https://npiregistry.cms.hhs.gov/registry/search-results-table?number=18816745391,KAZUMA1,,NAKAGAWA1,Individual1,1301 PUNCHBOWL ST NEUROSCIENCE INSTITUTE, QET51,HONOLULU1,HI1,96813-24021,808-691-46171,808-691-40011,Psychiatry & Neurology Neurocritical Care1,1301 PUNCHBOWL ST NEUROSCIENCE INSTITUTE, QET5, HONOLULU,A1
UnitedHealthcare2,Choice Plus2,PR2,Kazuma1,D2,Nakagawa2,MD2,,https://connect.werally.com/provider/0003098168-kazuma-nakagawa2,Baldorioty 1771,Moca2,PR2,6761,80854359502,,Hospitalist2,,https://npiregistry.cms.hhs.gov/registry/provider-view/18816745391,https://npiregistry.cms.hhs.gov/registry/search-results-table?number=18816745391,KAZUMA2,,NAKAGAWA2,Individual2,1302 PUNCHBOWL ST NEUROSCIENCE INSTITUTE, QET51,HONOLULU2,HI2,96813-24022,808-691-46171,808-691-40011,Psychiatry & Neurology Neurocritical Care2,1302 PUNCHBOWL ST NEUROSCIENCE INSTITUTE, QET5, HONOLULU,A2
UnitedHealthcare3,Choice Plus3,PR3,Kazuma1,D3,Nakagawa3,MD3,,https://connect.werally.com/provider/0003098168-kazuma-nakagawa3,Baldorioty 1773,Moca3,PR3,6761,80854359503,,Hospitalist3,18816745393,https://npiregistry.cms.hhs.gov/registry/provider-view/18816745391,https://npiregistry.cms.hhs.gov/registry/search-results-table?number=18816745391,KAZUMA3,,NAKAGAWA3,Individual3,1303 PUNCHBOWL ST NEUROSCIENCE INSTITUTE, QET51,HONOLULU3,HI3,96813-24023,808-691-46171,808-691-40011,Psychiatry & Neurology Neurocritical Care3,1303 PUNCHBOWL ST NEUROSCIENCE INSTITUTE, QET5, HONOLULU,A3
UnitedHealthcare4,Choice Plus4,PR4,Kazuma4,D4,Nakagawa4,MD4,,https://connect.werally.com/provider/0003098168-kazuma-nakagawa4,Baldorioty 1774,Moca4,PR4,6761,80854359504,,Hospitalist4,,https://npiregistry.cms.hhs.gov/registry/provider-view/18816745391,https://npiregistry.cms.hhs.gov/registry/search-results-table?number=18816745391,KAZUMA4,,NAKAGAWA4,Individual4,1304 PUNCHBOWL ST NEUROSCIENCE INSTITUTE, QET51,HONOLULU4,HI4,96813-24024,808-691-46171,808-691-40011,Psychiatry & Neurology Neurocritical Care4,1304 PUNCHBOWL ST NEUROSCIENCE INSTITUTE, QET5, HONOLULU,A4
UnitedHealthcare5,Choice Plus5,PR5,Kazuma5,D5,Nakagawa5,MD5,,https://connect.werally.com/provider/0003098168-kazuma-nakagawa5,Baldorioty 1775,Moca5,PR5,6761,80854359505,,Hospitalist5,18816745395,https://npiregistry.cms.hhs.gov/registry/provider-view/18816745391,https://npiregistry.cms.hhs.gov/registry/search-results-table?number=18816745391,KAZUMA5,,NAKAGAWA5,Individual5,1305 PUNCHBOWL ST NEUROSCIENCE INSTITUTE, QET51,HONOLULU5,HI5,96813-24025,808-691-46171,808-691-40011,Psychiatry & Neurology Neurocritical Care5,1305 PUNCHBOWL ST NEUROSCIENCE INSTITUTE, QET5, HONOLULU,A5
UnitedHealthcare6,Choice Plus6,PR6,Kazuma6,D6,Nakagawa6,MD6,,https://connect.werally.com/provider/0003098168-kazuma-nakagawa6,Baldorioty 1776,Moca6,PR6,6761,80854359506,,Hospitalist6,18816745396,https://npiregistry.cms.hhs.gov/registry/provider-view/18816745391,https://npiregistry.cms.hhs.gov/registry/search-results-table?number=18816745391,KAZUMA6,,NAKAGAWA6,Individual6,1306 PUNCHBOWL ST NEUROSCIENCE INSTITUTE, QET51,HONOLULU6,HI6,96813-24026,808-691-46171,808-691-40011,Psychiatry & Neurology Neurocritical Care6,1306 PUNCHBOWL ST NEUROSCIENCE INSTITUTE, QET5, HONOLULU,A6
UnitedHealthcare7,Choice Plus7,PR7,Kazuma7,D7,Nakagawa7,MD7,,https://connect.werally.com/provider/0003098168-kazuma-nakagawa7,Baldorioty 1777,Moca7,PR7,6761,80854359507,,Hospitalist7,,https://npiregistry.cms.hhs.gov/registry/provider-view/18816745391,https://npiregistry.cms.hhs.gov/registry/search-results-table?number=18816745391,KAZUMA7,,NAKAGAWA7,Individual7,1307 PUNCHBOWL ST NEUROSCIENCE INSTITUTE, QET51,HONOLULU7,HI7,96813-24027,808-691-46171,808-691-40011,Psychiatry & Neurology Neurocritical Care7,1307 PUNCHBOWL ST NEUROSCIENCE INSTITUTE, QET5, HONOLULU,A7
UnitedHealthcare8,Choice Plus8,PR8,Kazuma8,D8,Nakagawa8,MD8,,https://connect.werally.com/provider/0003098168-kazuma-nakagawa8,Baldorioty 1778,Moca8,PR8,6761,80854359508,,Hospitalist8,18816745398,https://npiregistry.cms.hhs.gov/registry/provider-view/18816745391,https://npiregistry.cms.hhs.gov/registry/search-results-table?number=18816745391,KAZUMA8,,NAKAGAWA8,Individual8,1308 PUNCHBOWL ST NEUROSCIENCE INSTITUTE, QET51,HONOLULU8,HI8,96813-24028,808-691-46171,808-691-40011,Psychiatry & Neurology Neurocritical Care8,1308 PUNCHBOWL ST NEUROSCIENCE INSTITUTE, QET5, HONOLULU,A8
UnitedHealthcare9,Choice Plus9,PR9,Kazuma9,D9,Nakagawa9,MD9,,https://connect.werally.com/provider/0003098168-kazuma-nakagawa9,Baldorioty 1779,Moca9,PR9,6761,80854359509,,Hospitalist9,,https://npiregistry.cms.hhs.gov/registry/provider-view/18816745391,https://npiregistry.cms.hhs.gov/registry/search-results-table?number=18816745391,KAZUMA9,,NAKAGAWA9,Individual9,1309 PUNCHBOWL ST NEUROSCIENCE INSTITUTE, QET51,HONOLULU9,HI9,96813-24029,808-691-46171,808-691-40011,Psychiatry & Neurology Neurocritical Care9,1309 PUNCHBOWL ST NEUROSCIENCE INSTITUTE, QET5, HONOLULU,A9
UnitedHealthcare10,Choice Plus10,PR10,Kazuma10,D10,Nakagawa10,MD10,,https://connect.werally.com/provider/0003098168-kazuma-nakagawa10,Baldorioty 1780,Moca10,PR10,6761,80854359510,,Hospitalist10,18816745400,https://npiregistry.cms.hhs.gov/registry/provider-view/18816745391,https://npiregistry.cms.hhs.gov/registry/search-results-table?number=18816745391,KAZUMA10,,NAKAGAWA10,Individual10,1310 PUNCHBOWL ST NEUROSCIENCE INSTITUTE, QET51,HONOLULU10,HI10,96813-24030,808-691-46171,808-691-40011,Psychiatry & Neurology Neurocritical Care10,1310 PUNCHBOWL ST NEUROSCIENCE INSTITUTE, QET5, HONOLULU,A10
UnitedHealthcare11,Choice Plus11,PR11,Kazuma11,D11,Nakagawa11,MD11,,https://connect.werally.com/provider/0003098168-kazuma-nakagawa11,Baldorioty 1781,Moca11,PR11,6761,80854359511,,Hospitalist11,18816745401,https://npiregistry.cms.hhs.gov/registry/provider-view/18816745391,https://npiregistry.cms.hhs.gov/registry/search-results-table?number=18816745391,KAZUMA11,,NAKAGAWA11,Individual11,1311 PUNCHBOWL ST NEUROSCIENCE INSTITUTE, QET51,HONOLULU11,HI11,96813-24031,808-691-46171,808-691-40011,Psychiatry & Neurology Neurocritical Care11,1311 PUNCHBOWL ST NEUROSCIENCE INSTITUTE, QET5, HONOLULU,A11
UnitedHealthcare12,Choice Plus12,PR12,Kazuma12,D12,Nakagawa12,MD12,,https://connect.werally.com/provider/0003098168-kazuma-nakagawa12,Baldorioty 1782,Moca12,PR12,6761,80854359512,,Hospitalist12,18816745402,https://npiregistry.cms.hhs.gov/registry/provider-view/18816745391,https://npiregistry.cms.hhs.gov/registry/search-results-table?number=18816745391,KAZUMA12,,NAKAGAWA12,Individual12,1312 PUNCHBOWL ST NEUROSCIENCE INSTITUTE, QET51,HONOLULU12,HI12,96813-24032,808-691-46171,808-691-40011,Psychiatry & Neurology Neurocritical Care12,1312 PUNCHBOWL ST NEUROSCIENCE INSTITUTE, QET5, HONOLULU,A12
UnitedHealthcare13,Choice Plus13,PR13,Kazuma13,D13,Nakagawa13,MD13,,https://connect.werally.com/provider/0003098168-kazuma-nakagawa13,Baldorioty 1783,Moca13,PR13,6761,80854359513,,Hospitalist13,18816745403,https://npiregistry.cms.hhs.gov/registry/provider-view/18816745391,https://npiregistry.cms.hhs.gov/registry/search-results-table?number=18816745391,KAZUMA13,,NAKAGAWA13,Individual13,1313 PUNCHBOWL ST NEUROSCIENCE INSTITUTE, QET51,HONOLULU13,HI13,96813-24033,808-691-46171,808-691-40011,Psychiatry & Neurology Neurocritical Care13,1313 PUNCHBOWL ST NEUROSCIENCE INSTITUTE, QET5, HONOLULU,A13
UnitedHealthcare14,Choice Plus14,PR14,Kazuma14,D14,Nakagawa14,MD14,,https://connect.werally.com/provider/0003098168-kazuma-nakagawa14,Baldorioty 1784,Moca14,PR14,6761,80854359514,,Hospitalist14,18816745404,https://npiregistry.cms.hhs.gov/registry/provider-view/18816745391,https://npiregistry.cms.hhs.gov/registry/search-results-table?number=18816745391,KAZUMA14,,NAKAGAWA14,Individual14,1314 PUNCHBOWL ST NEUROSCIENCE INSTITUTE, QET51,HONOLULU14,HI14,96813-24034,808-691-46171,808-691-40011,Psychiatry & Neurology Neurocritical Care14,1314 PUNCHBOWL ST NEUROSCIENCE INSTITUTE, QET5, HONOLULU,A14
UnitedHealthcare15,Choice Plus15,PR15,Kazuma15,D15,Nakagawa15,MD15,,https://connect.werally.com/provider/0003098168-kazuma-nakagawa15,Baldorioty 1785,Moca15,PR15,6761,80854359515,,Hospitalist15,18816745405,https://npiregistry.cms.hhs.gov/registry/provider-view/18816745391,https://npiregistry.cms.hhs.gov/registry/search-results-table?number=18816745391,KAZUMA15,,NAKAGAWA15,Individual15,1315 PUNCHBOWL ST NEUROSCIENCE INSTITUTE, QET51,HONOLULU15,HI15,96813-24035,808-691-46171,808-691-40011,Psychiatry & Neurology Neurocritical Care15,1315 PUNCHBOWL ST NEUROSCIENCE INSTITUTE, QET5, HONOLULU,A15
UnitedHealthcare16,Choice Plus16,PR16,Kazuma16,D16,Nakagawa16,MD16,,https://connect.werally.com/provider/0003098168-kazuma-nakagawa16,Baldorioty 1786,Moca16,PR16,6761,80854359516,,Hospitalist16,18816745406,https://npiregistry.cms.hhs.gov/registry/provider-view/18816745391,https://npiregistry.cms.hhs.gov/registry/search-results-table?number=18816745391,KAZUMA16,,NAKAGAWA16,Individual16,1316 PUNCHBOWL ST NEUROSCIENCE INSTITUTE, QET51,HONOLULU16,HI16,96813-24036,808-691-46171,808-691-40011,Psychiatry & Neurology Neurocritical Care16,1316 PUNCHBOWL ST NEUROSCIENCE INSTITUTE, QET5, HONOLULU,A16
UnitedHealthcare17,Choice Plus17,PR17,Kazuma17,D17,Nakagawa17,MD17,,https://connect.werally.com/provider/0003098168-kazuma-nakagawa17,Baldorioty 1787,Moca17,PR17,6761,80854359517,,Hospitalist17,18816745407,https://npiregistry.cms.hhs.gov/registry/provider-view/18816745391,https://npiregistry.cms.hhs.gov/registry/search-results-table?number=18816745391,KAZUMA17,,NAKAGAWA17,Individual17,1317 PUNCHBOWL ST NEUROSCIENCE INSTITUTE, QET51,HONOLULU17,HI17,96813-24037,808-691-46171,808-691-40011,Psychiatry & Neurology Neurocritical Care17,1317 PUNCHBOWL ST NEUROSCIENCE INSTITUTE, QET5, HONOLULU,A17
UnitedHealthcare18,Choice Plus18,PR18,Kazuma18,D18,Nakagawa18,MD18,,https://connect.werally.com/provider/0003098168-kazuma-nakagawa18,Baldorioty 1788,Moca18,PR18,6761,80854359518,,Hospitalist18,18816745408,https://npiregistry.cms.hhs.gov/registry/provider-view/18816745391,https://npiregistry.cms.hhs.gov/registry/search-results-table?number=18816745391,KAZUMA18,,NAKAGAWA18,Individual18,1318 PUNCHBOWL ST NEUROSCIENCE INSTITUTE, QET51,HONOLULU18,HI18,96813-24038,808-691-46171,808-691-40011,Psychiatry & Neurology Neurocritical Care18,1318 PUNCHBOWL ST NEUROSCIENCE INSTITUTE, QET5, HONOLULU,A18
UnitedHealthcare19,Choice Plus19,PR19,Kazuma19,D19,Nakagawa19,MD19,,https://connect.werally.com/provider/0003098168-kazuma-nakagawa19,Baldorioty 1789,Moca19,PR19,6761,80854359519,,Hospitalist19,18816745409,https://npiregistry.cms.hhs.gov/registry/provider-view/18816745391,https://npiregistry.cms.hhs.gov/registry/search-results-table?number=18816745391,KAZUMA19,,NAKAGAWA19,Individual19,1319 PUNCHBOWL ST NEUROSCIENCE INSTITUTE, QET51,HONOLULU19,HI19,96813-24039,808-691-46171,808-691-40011,Psychiatry & Neurology Neurocritical Care19,1319 PUNCHBOWL ST NEUROSCIENCE INSTITUTE, QET5, HONOLULU,A19
UnitedHealthcare20,Choice Plus20,PR20,Kazuma20,D20,Nakagawa20,MD20,,https://connect.werally.com/provider/0003098168-kazuma-nakagawa20,Baldorioty 1790,Moca20,PR20,6761,80854359520,,Hospitalist20,18816745410,https://npiregistry.cms.hhs.gov/registry/provider-view/18816745391,https://npiregistry.cms.hhs.gov/registry/search-results-table?number=18816745391,KAZUMA20,,NAKAGAWA20,Individual20,1320 PUNCHBOWL ST NEUROSCIENCE INSTITUTE, QET51,HONOLULU20,HI20,96813-24040,808-691-46171,808-691-40011,Psychiatry & Neurology Neurocritical Care20,1320 PUNCHBOWL ST NEUROSCIENCE INSTITUTE, QET5, HONOLULU,A20
UnitedHealthcare21,Choice Plus21,PR21,Kazuma21,D21,Nakagawa21,MD21,,https://connect.werally.com/provider/0003098168-kazuma-nakagawa21,Baldorioty 1791,Moca21,PR21,6761,80854359521,,Hospitalist21,18816745411,https://npiregistry.cms.hhs.gov/registry/provider-view/18816745391,https://npiregistry.cms.hhs.gov/registry/search-results-table?number=18816745391,KAZUMA21,,NAKAGAWA21,Individual21,1321 PUNCHBOWL ST NEUROSCIENCE INSTITUTE, QET51,HONOLULU21,HI21,96813-24041,808-691-46171,808-691-40011,Psychiatry & Neurology Neurocritical Care21,1321 PUNCHBOWL ST NEUROSCIENCE INSTITUTE, QET5, HONOLULU,A21
UnitedHealthcare22,Choice Plus22,PR22,Kazuma22,D22,Nakagawa22,MD22,,https://connect.werally.com/provider/0003098168-kazuma-nakagawa22,Baldorioty 1792,Moca22,PR22,6761,80854359522,,Hospitalist22,18816745412,https://npiregistry.cms.hhs.gov/registry/provider-view/18816745391,https://npiregistry.cms.hhs.gov/registry/search-results-table?number=18816745391,KAZUMA22,,NAKAGAWA22,Individual22,1322 PUNCHBOWL ST NEUROSCIENCE INSTITUTE, QET51,HONOLULU22,HI22,96813-24042,808-691-46171,808-691-40011,Psychiatry & Neurology Neurocritical Care22,1322 PUNCHBOWL ST NEUROSCIENCE INSTITUTE, QET5, HONOLULU,A22
UnitedHealthcare23,Choice Plus23,PR23,Kazuma23,D23,Nakagawa23,MD23,,https://connect.werally.com/provider/0003098168-kazuma-nakagawa23,Baldorioty 1793,Moca23,PR23,6761,80854359523,,Hospitalist23,18816745413,https://npiregistry.cms.hhs.gov/registry/provider-view/18816745391,https://npiregistry.cms.hhs.gov/registry/search-results-table?number=18816745391,KAZUMA23,,NAKAGAWA23,Individual23,1323 PUNCHBOWL ST NEUROSCIENCE INSTITUTE, QET51,HONOLULU23,HI23,96813-24043,808-691-46171,808-691-40011,Psychiatry & Neurology Neurocritical Care23,1323 PUNCHBOWL ST NEUROSCIENCE INSTITUTE, QET5, HONOLULU,A23
UnitedHealthcare24,Choice Plus24,PR24,Kazuma24,D24,Nakagawa24,MD24,,https://connect.werally.com/provider/0003098168-kazuma-nakagawa24,Baldorioty 1794,Moca24,PR24,6761,80854359524,,Hospitalist24,18816745414,https://npiregistry.cms.hhs.gov/registry/provider-view/18816745391,https://npiregistry.cms.hhs.gov/registry/search-results-table?number=18816745391,KAZUMA24,,NAKAGAWA24,Individual24,1324 PUNCHBOWL ST NEUROSCIENCE INSTITUTE, QET51,HONOLULU24,HI24,96813-24044,808-691-46171,808-691-40011,Psychiatry & Neurology Neurocritical Care24,1324 PUNCHBOWL ST NEUROSCIENCE INSTITUTE, QET5, HONOLULU,A24
UnitedHealthcare25,Choice Plus25,PR25,Kazuma25,D25,Nakagawa25,MD25,,https://connect.werally.com/provider/0003098168-kazuma-nakagawa25,Baldorioty 1795,Moca25,PR25,6761,80854359525,,Hospitalist25,18816745415,https://npiregistry.cms.hhs.gov/registry/provider-view/18816745391,https://npiregistry.cms.hhs.gov/registry/search-results-table?number=18816745391,KAZUMA25,,NAKAGAWA25,Individual25,1325 PUNCHBOWL ST NEUROSCIENCE INSTITUTE, QET51,HONOLULU25,HI25,96813-24045,808-691-46171,808-691-40011,Psychiatry & Neurology Neurocritical Care25,1325 PUNCHBOWL ST NEUROSCIENCE INSTITUTE, QET5, HONOLULU,A25
UnitedHealthcare26,Choice Plus26,PR26,Kazuma26,D26,Nakagawa26,MD26,,https://connect.werally.com/provider/0003098168-kazuma-nakagawa26,Baldorioty 1796,Moca26,PR26,6761,80854359526,,Hospitalist26,18816745416,https://npiregistry.cms.hhs.gov/registry/provider-view/18816745391,https://npiregistry.cms.hhs.gov/registry/search-results-table?number=18816745391,KAZUMA26,,NAKAGAWA26,Individual26,1326 PUNCHBOWL ST NEUROSCIENCE INSTITUTE, QET51,HONOLULU26,HI26,96813-24046,808-691-46171,808-691-40011,Psychiatry & Neurology Neurocritical Care26,1326 PUNCHBOWL ST NEUROSCIENCE INSTITUTE, QET5, HONOLULU,A26
UnitedHealthcare27,Choice Plus27,PR27,Kazuma27,D27,Nakagawa27,MD27,,https://connect.werally.com/provider/0003098168-kazuma-nakagawa27,Baldorioty 1797,Moca27,PR27,6761,80854359527,,Hospitalist27,18816745417,https://npiregistry.cms.hhs.gov/registry/provider-view/18816745391,https://npiregistry.cms.hhs.gov/registry/search-results-table?number=18816745391,KAZUMA27,,NAKAGAWA27,Individual27,1327 PUNCHBOWL ST NEUROSCIENCE INSTITUTE, QET51,HONOLULU27,HI27,96813-24047,808-691-46171,808-691-40011,Psychiatry & Neurology Neurocritical Care27,1327 PUNCHBOWL ST NEUROSCIENCE INSTITUTE, QET5, HONOLULU,A27
UnitedHealthcare28,Choice Plus28,PR28,Kazuma28,D28,Nakagawa28,MD28,,https://connect.werally.com/provider/0003098168-kazuma-nakagawa28,Baldorioty 1798,Moca28,PR28,6761,80854359528,,Hospitalist28,18816745418,https://npiregistry.cms.hhs.gov/registry/provider-view/18816745391,https://npiregistry.cms.hhs.gov/registry/search-results-table?number=18816745391,KAZUMA28,,NAKAGAWA28,Individual28,1328 PUNCHBOWL ST NEUROSCIENCE INSTITUTE, QET51,HONOLULU28,HI28,96813-24048,808-691-46171,808-691-40011,Psychiatry & Neurology Neurocritical Care28,1328 PUNCHBOWL ST NEUROSCIENCE INSTITUTE, QET5, HONOLULU,A28
UnitedHealthcare29,Choice Plus29,PR29,Kazuma29,D29,Nakagawa29,MD29,,https://connect.werally.com/provider/0003098168-kazuma-nakagawa29,Baldorioty 1799,Moca29,PR29,6761,80854359529,,Hospitalist29,18816745419,https://npiregistry.cms.hhs.gov/registry/provider-view/18816745391,https://npiregistry.cms.hhs.gov/registry/search-results-table?number=18816745391,KAZUMA29,,NAKAGAWA29,Individual29,1329 PUNCHBOWL ST NEUROSCIENCE INSTITUTE, QET51,HONOLULU29,HI29,96813-24049,808-691-46171,808-691-40011,Psychiatry & Neurology Neurocritical Care29,1329 PUNCHBOWL ST NEUROSCIENCE INSTITUTE, QET5, HONOLULU,A29
UnitedHealthcare30,Choice Plus30,PR30,Kazuma30,D30,Nakagawa30,MD30,,https://connect.werally.com/provider/0003098168-kazuma-nakagawa30,Baldorioty 1800,Moca30,PR30,6761,80854359530,,Hospitalist30,18816745420,https://npiregistry.cms.hhs.gov/registry/provider-view/18816745391,https://npiregistry.cms.hhs.gov/registry/search-results-table?number=18816745391,KAZUMA30,,NAKAGAWA30,Individual30,1330 PUNCHBOWL ST NEUROSCIENCE INSTITUTE, QET51,HONOLULU30,HI30,96813-24050,808-691-46171,808-691-40011,Psychiatry & Neurology Neurocritical Care30,1330 PUNCHBOWL ST NEUROSCIENCE INSTITUTE, QET5, HONOLULU,A30
